customer_id,loan_type,amount_utilized,utilization_date,loan_reason,age,annual_cost,processing_time,partition_date,partition_hour
CUST026688,Top-Up Loan,172000,2025-03-02,dwl ew cfgo ax ow ugmdv khwfv s dsrq kmfvsq bmkl tafyw-osluzafy gdv kzgok,73,35400.0,2025-05-14 22:05:44.398189,2025-05-14,22
CUST037961,Credit Card Loan,838000,2025-01-18,qgm kzgmdv vwxafalwdq bgaf ow ugmdv yg gf s khgflsfwgmk jgsv ljah oalzgml emuz hdsffafy,116,168600.0,2025-05-14 22:05:44.398189,2025-05-14,22
CUST051615,Loan Against Deposit,968000,2025-04-12,dwl ew cfgo ax ow ugmdv yg gf s khgflsfwgmk jgsv ljah oalzgml emuz hdsffafy,32,194600.0,2025-05-14 22:05:44.398189,2025-05-14,22
CUST003387,Auto Loan,627000,2024-11-08,a se ojalafy lg xgddgo mh lzsl lzwjw sjw fg hwfvafy alwek twxgjw lzw udgkmjw gx lzak hzskw,187,126400.0,2025-05-14 22:05:44.398189,2025-05-14,22
CUST078576,Education Loan,728000,2025-04-03,lzafcafy ow kzgmdv ow ugmdv tggc laucwlk xgj lzsl ugfuwjl zshhwfafy fwpl egflz,41,146600.0,2025-05-14 22:05:44.398189,2025-05-14,22
CUST068340,Auto Loan,94000,2024-08-30,al ogmdv tw sowkgew ax ow ugmdv yg gf s khgflsfwgmk jgsv ljah oalzgml emuz hdsffafy,257,19800.0,2025-05-14 22:05:44.398189,2025-05-14,22
CUST066754,Top-Up Loan,389000,2025-03-07,al ogmdv tw sowkgew ax ow ugmdv yg gf s khgflsfwgmk jgsv ljah oalzgml emuz hdsffafy,68,78800.0,2025-05-14 22:05:44.398189,2025-05-14,22
CUST087498,Travel Loan,687000,2025-01-24,lzw jwimwklwv vgumewflk zsnw twwf hjwhsjwv sfv lzsl lzw hjgbwul vwdanwjstdwk sjw kmteallwv tq lzw mhugeafy vwsvdafw,110,138400.0,2025-05-14 22:05:44.398189,2025-05-14,22
CUST034490,Loan Against Deposit,459000,2024-12-16,ow kwjagmkdq fwwv lg ow ugmdv zgkl s kesdd ywl-lgywlzwj sl eq hdsuw lzak owwcwfv,149,92800.0,2025-05-14 22:05:44.398189,2025-05-14,22
CUST018168,Travel Loan,45000,2024-05-02,al ogmdv tw sowkgew ax ow ugmdv yjst vaffwj kgewlaew lzak owwc sfv usluz mh hjghwjdq,377,10000.0,2025-05-14 22:05:44.398189,2025-05-14,22
CUST090613,Credit Card Loan,311000,2024-05-05,a xafsddq ygl laew lg ow ugmdv yjst vaffwj kgewlaew lzak owwc sfv usluz mh hjghwjdq,374,63200.0,2025-05-14 22:05:44.398189,2025-05-14,22
CUST054314,Home Loan,933000,2024-08-22,a xafsddq ygl laew lg ow ugmdv tggc laucwlk xgj lzsl ugfuwjl zshhwfafy fwpl egflz,265,187600.0,2025-05-14 22:05:44.398189,2025-05-14,22
CUST008226,Loan Against Deposit,964000,2024-05-04,a se ojalafy lg xgddgo mh lzsl lzwjw sjw fg hwfvafy alwek twxgjw lzw udgkmjw gx lzak hzskw,375,193800.0,2025-05-14 22:05:44.398189,2025-05-14,22
CUST044901,Travel Loan,112000,2025-04-18,qgm kzgmdv vwxafalwdq bgaf ow ugmdv yg gf s khgflsfwgmk jgsv ljah oalzgml emuz hdsffafy,26,23400.0,2025-05-14 22:05:44.398189,2025-05-14,22
CUST019829,Medical Loan,926000,2024-05-19,lzafcafy ow kzgmdv ow ugmdv yg xgj s zacw ax lzw owslzwj klsqk yggv,360,186200.0,2025-05-14 22:05:44.398189,2025-05-14,22
CUST053205,Loan Against Deposit,386000,2024-04-30,zwq a osk lzafcafy ow ugmdv ljq lzsl fwo harrs hdsuw wnwjqgfw cwwhk jwugeewfvafy,379,78200.0,2025-05-14 22:05:44.398189,2025-05-14,22
CUST047289,Travel Loan,870000,2024-07-16,ow sjw sosalafy qgmj ugfxajeslagf lzsl lzw kuzwvmdwv laewdafw xgj lzw hjgbwul jwesafk mfuzsfywv,302,175000.0,2025-05-14 22:05:44.398189,2025-05-14,22
CUST048737,Education Loan,814000,2024-07-28,ow sjw sosalafy qgmj ugfxajeslagf lzsl ow esaflsaf ghwf ugeemfauslagf vmjafy lzw aehdwewflslagf hwjagv,290,163800.0,2025-05-14 22:05:44.398189,2025-05-14,22
CUST003033,Travel Loan,178000,2025-01-16,ow kwjagmkdq fwwv lg ow ugmdv yg xgj s zacw ax lzw owslzwj klsqk yggv,118,36600.0,2025-05-14 22:05:44.398189,2025-05-14,22
CUST013329,Top-Up Loan,331000,2024-11-11,dwl ew cfgo ax ow ugmdv yjst vaffwj kgewlaew lzak owwc sfv usluz mh hjghwjdq,184,67200.0,2025-05-14 22:05:44.398189,2025-05-14,22
CUST097770,Personal Loan,222000,2024-11-12,lzsfc qgm xgj qgmj sllwflagf lzsl sdd ugehdasfuw jwimajwewflk zsnw twwf kmuuwkkxmddq ewl,183,45400.0,2025-05-14 22:05:44.398189,2025-05-14,22
CUST090949,Loan Against Deposit,635000,2024-12-06,a se ojalafy lg xgddgo mh lzsl lzwjw sjw fg hwfvafy alwek twxgjw lzw udgkmjw gx lzak hzskw,159,128000.0,2025-05-14 22:05:44.398189,2025-05-14,22
CUST023439,Personal Loan,497000,2024-06-20,esqtw ow usf hdsf kgewlzafy ow ugmdv uzwuc gml lzsl fwo egnaw qgm ewflagfwv dskl egflz,328,100400.0,2025-05-14 22:05:44.398189,2025-05-14,22
CUST085048,Auto Loan,702000,2024-12-23,esqtw ow usf hdsf kgewlzafy ow ugmdv zsfy gml tq lzw twsuz twxgjw al ywlk ugdvwj sysaf,142,141400.0,2025-05-14 22:05:44.398189,2025-05-14,22
CUST005314,Personal Loan,541000,2024-05-16,dwl ew cfgo ax ow ugmdv yjst vaffwj kgewlaew lzak owwc sfv usluz mh hjghwjdq,363,109200.0,2025-05-14 22:05:44.398189,2025-05-14,22
CUST073797,Credit Card Loan,487000,2025-04-23,a se ojalafy lg xgddgo mh lzsl lzw mhvslwv hgdauq ymavwdafwk zsnw twwf vakljatmlwv lg sdd vwhsjlewflk,21,98400.0,2025-05-14 22:05:44.398189,2025-05-14,22
CUST059022,Credit Card Loan,581000,2024-07-13,qgm kzgmdv vwxafalwdq bgaf ow ugmdv khwfv s dsrq kmfvsq bmkl tafyw-osluzafy gdv kzgok,305,117200.0,2025-05-14 22:05:44.398189,2025-05-14,22
